   1.0257523e+03   1.0175759e+03   1.0197037e+03   1.0278801e+03
   8.5150639e+02   8.6157578e+02   8.6330361e+02   8.5323422e+02
   1.5460000e+00   1.5460000e+00   1.5460000e+00   1.5460000e+00
   1.0256572e+03   1.0176898e+03   1.0198528e+03   1.0278202e+03
   8.5160337e+02   8.6183898e+02   8.6352263e+02   8.5328702e+02
   1.6340000e+00   1.6340000e+00   1.6340000e+00   1.6340000e+00
   1.0254344e+03   1.0175440e+03   1.0197196e+03   1.0276100e+03
   8.5171677e+02   8.6201186e+02   8.6367923e+02   8.5338414e+02
   1.6710000e+00   1.6710000e+00   1.6710000e+00   1.6710000e+00
   1.0251175e+03   1.0173408e+03   1.0195345e+03   1.0273112e+03
   8.5192272e+02   8.6230392e+02   8.6394728e+02   8.5356608e+02
   1.7090000e+00   1.7090000e+00   1.7090000e+00   1.7090000e+00
   1.0244810e+03   1.0171184e+03   1.0193750e+03   1.0267376e+03
   8.5258863e+02   8.6326753e+02   8.6482337e+02   8.5414447e+02
   1.7670000e+00   1.7670000e+00   1.7670000e+00   1.7670000e+00
   1.0238725e+03   1.0169354e+03   1.0192515e+03   1.0261886e+03
   8.5327799e+02   8.6423808e+02   8.6570401e+02   8.5474392e+02
   1.6750000e+00   1.6750000e+00   1.6750000e+00   1.6750000e+00
   1.0231041e+03   1.0162154e+03   1.0185379e+03   1.0254266e+03
   8.5434884e+02   8.6533947e+02   8.6679516e+02   8.5580453e+02
   1.6320000e+00   1.6320000e+00   1.6320000e+00   1.6320000e+00
   1.0223915e+03   1.0155515e+03   1.0178805e+03   1.0247205e+03
   8.5566382e+02   8.6668476e+02   8.6813018e+02   8.5710924e+02
   1.5900000e+00   1.5900000e+00   1.5900000e+00   1.5900000e+00
   1.0216711e+03   1.0150961e+03   1.0174589e+03   1.0240339e+03
   8.5671976e+02   8.6790084e+02   8.6929024e+02   8.5810916e+02
   1.5330000e+00   1.5330000e+00   1.5330000e+00   1.5330000e+00
   1.0206867e+03   1.0141837e+03   1.0165553e+03   1.0230583e+03
   8.5843336e+02   8.6965643e+02   8.7103064e+02   8.5980757e+02
   1.4750000e+00   1.4750000e+00   1.4750000e+00   1.4750000e+00
   1.0194263e+03   1.0132925e+03   1.0157077e+03   1.0218415e+03
   8.6012938e+02   8.7155844e+02   8.7285462e+02   8.6142556e+02
   1.4180000e+00   1.4180000e+00   1.4180000e+00   1.4180000e+00
   1.0183299e+03   1.0121035e+03   1.0145081e+03   1.0207345e+03
   8.6230170e+02   8.7368055e+02   8.7499630e+02   8.6361745e+02
   1.3100000e+00   1.3100000e+00   1.3100000e+00   1.3100000e+00
   1.0174386e+03   1.0113186e+03   1.0137354e+03   1.0198554e+03
   8.6413415e+02   8.7557059e+02   8.7686385e+02   8.6542741e+02
   1.3530000e+00   1.3530000e+00   1.3530000e+00   1.3530000e+00
   1.0160631e+03   1.0102921e+03   1.0127469e+03   1.0185179e+03
   8.6642602e+02   8.7804246e+02   8.7926198e+02   8.6764554e+02
   1.2950000e+00   1.2950000e+00   1.2950000e+00   1.2950000e+00
   1.0146725e+03   1.0088140e+03   1.0112595e+03   1.0171180e+03
   8.6907870e+02   8.8065129e+02   8.8188930e+02   8.7031671e+02
   1.1880000e+00   1.1880000e+00   1.1880000e+00   1.1880000e+00
   1.0133457e+03   1.0073714e+03   1.0098043e+03   1.0157786e+03
   8.7155915e+02   8.8307236e+02   8.8433485e+02   8.7282164e+02
   1.1300000e+00   1.1300000e+00   1.1300000e+00   1.1300000e+00
   1.0118643e+03   1.0059755e+03   1.0084177e+03   1.0143065e+03
   8.7437419e+02   8.8593140e+02   8.8717581e+02   8.7561860e+02
   1.0730000e+00   1.0730000e+00   1.0730000e+00   1.0730000e+00
   1.0107187e+03   1.0049158e+03   1.0073673e+03   1.0131702e+03
   8.7665759e+02   8.8825816e+02   8.8948441e+02   8.7788384e+02
   9.1500000e-01   9.1500000e-01   9.1500000e-01   9.1500000e-01
   1.0094271e+03   1.0037104e+03   1.0061709e+03   1.0118876e+03
   8.7941134e+02   8.9105463e+02   8.9226266e+02   8.8061937e+02
   8.5800000e-01   8.5800000e-01   8.5800000e-01   8.5800000e-01
   1.0079804e+03   1.0023502e+03   1.0048196e+03   1.0104498e+03
